Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-04; 00:00:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:01:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:02:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:03:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:04:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:05:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-04; 00:06:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 00:07:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:08:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 34°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-04; 00:09:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:10:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
