Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 14:52:56; übergangsbetr.;   Anheizen     ; 1; 0; 18°; 19°; 29°; 50%; 100%; 70%; 100%; 99.8%; 145°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10879; 16635h; 18°; 80°; 20°; 18%; AUS; ZU; TROCKEN; 8.85A; 
2024-05-24; 14:53:56; übergangsbetr.;  Vorwärmphase  ; 1; 0; 18°; 22°; 32°; 50%; 100%; 45%; 0%; 99.7%; 192°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10879; 16635h; 19°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 7.13A; 
2024-05-24; 14:54:57; übergangsbetr.;  Vorwärmphase  ; 1; 0; 19°; 23°; 33°; 51%; 100%; 45%; 0%; 99.7%; 229°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10879; 16635h; 19°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 7.42A; 
2024-05-24; 14:55:57; übergangsbetr.;    Zünden      ; 1; 0; 19°; 25°; 35°; 52%; 100%; 66%; 60%; 99.7%; 258°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10879; 16635h; 19°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 7.34A; 
2024-05-24; 14:56:57; übergangsbetr.;    Zünden      ; 1; 0; 19°; 38°; 48°; 55%; 100%; 66%; 60%; 99.6%; 283°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10879; 16635h; 20°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 7.79A; 
2024-05-24; 14:57:57; übergangsbetr.;    Heizen      ; 1; 0; 20°; 48°; 58°; 58%; 100%; 44%; 60%; 99.5%; 302°; 32°; 26°; 0%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 20°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 1.10A; 
2024-05-24; 14:58:57; übergangsbetr.;    Heizen      ; 1; 0; 22°; 53°; 63°; 62%; 100%; 46%; 64%; 99.4%; 319°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 21°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 2.02A; 
2024-05-24; 14:59:57; übergangsbetr.;    Heizen      ; 1; 0; 24°; 57°; 67°; 65%; 100%; 47%; 66%; 99.3%; 332°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 21°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 1.97A; 
2024-05-24; 15:00:57; übergangsbetr.;    Heizen      ; 1; 0; 25°; 63°; 73°; 68%; 100%; 49%; 69%; 99.2%; 343°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 21°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 0.93A; 
2024-05-24; 15:01:57; übergangsbetr.;    Heizen      ; 1; 0; 28°; 71°; 81°; 72%; 100%; 51%; 72%; 99.0%; 351°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 21°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 1.99A; 
2024-05-24; 15:02:57; übergangsbetr.;    Heizen      ; 1; 0; 30°; 78°; 88°; 75%; 100%; 52%; 74%; 98.9%; 361°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 22°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 1.21A; 
