Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-10-22; 00:00:40; übergangsbetr.;   Anheizen     ; 1; 0; 30°; 30°; 40°; 56%; 100%; 70%; 100%; 99.8%; 398°; 34°; 26°; 0%; 8°; 26°; 32°; 30°; 30°; 127°; 127°; 10913; 16697h; 30°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 7.70A; 
2024-10-22; 00:01:39; übergangsbetr.;  Vorwärmphase  ; 1; 0; 30°; 32°; 42°; 57%; 100%; 45%; 0%; 99.7%; 398°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10913; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 7.28A; 
2024-10-22; 00:02:39; übergangsbetr.;  Vorwärmphase  ; 1; 0; 30°; 33°; 43°; 58%; 100%; 45%; 0%; 99.7%; 398°; 34°; 28°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10913; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 6.83A; 
2024-10-22; 00:03:39; übergangsbetr.;    Zünden      ; 1; 0; 30°; 34°; 44°; 58%; 100%; 66%; 60%; 99.7%; 399°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10913; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 6.49A; 
2024-10-22; 00:04:39; übergangsbetr.;    Zünden      ; 1; 0; 30°; 42°; 52°; 60%; 100%; 66%; 60%; 99.6%; 399°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10913; 16697h; 30°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 8.12A; 
2024-10-22; 00:05:40; übergangsbetr.;    Heizen      ; 1; 0; 30°; 57°; 67°; 64%; 100%; 47%; 65%; 99.5%; 399°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 1.42A; 
2024-10-22; 00:06:40; übergangsbetr.;    Heizen      ; 1; 0; 32°; 62°; 72°; 67%; 100%; 48%; 68%; 99.4%; 400°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 1.82A; 
2024-10-22; 00:07:40; übergangsbetr.;    Heizen      ; 1; 0; 34°; 69°; 79°; 70%; 100%; 50%; 70%; 99.3%; 400°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 1.82A; 
2024-10-22; 00:08:40; übergangsbetr.;    Heizen      ; 1; 0; 36°; 77°; 87°; 74%; 100%; 52%; 73%; 99.1%; 401°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 0.89A; 
2024-10-22; 00:09:40; übergangsbetr.;    Heizen      ; 1; 0; 38°; 85°; 95°; 77%; 100%; 53%; 76%; 99.0%; 402°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 1.95A; 
2024-10-22; 00:10:40; übergangsbetr.;    Heizen      ; 1; 0; 42°; 93°; 103°; 80%; 100%; 55%; 78%; 98.9%; 402°; 34°; 26°; 0%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 1.93A; 
