Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-28; 00:00:58; übergangsbetr.;    Heizen      ; 1; 0; 80°; 164°; 157°; 84%; 35%; 57%; 82%; 74.2%; 438°; 79°; 70°; 100%; 4°; 27°; 28°; 38°; 34°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.16A; 
2024-11-28; 00:01:58; übergangsbetr.; Abst.Warten   1; 1; 0; 76°; 163°; 174°; 100%; 35%; 40%; 0%; 74.1%; 438°; 79°; 71°; 0%; 4°; 27°; 28°; 38°; 39°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.63A; 
2024-11-28; 00:02:58; übergangsbetr.; Abst.Warten   1; 1; 0; 77°; 152°; 173°; 100%; 35%; 40%; 0%; 74.1%; 437°; 79°; 72°; 70%; 4°; 27°; 27°; 38°; 46°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.14A; 
2024-11-28; 00:03:58; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 141°; 170°; 100%; 35%; 40%; 0%; 74.1%; 436°; 79°; 72°; 82%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.44A; 
2024-11-28; 00:04:58; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 133°; 167°; 100%; 35%; 40%; 0%; 74.1%; 434°; 79°; 74°; 92%; 4°; 27°; 26°; 38°; 30°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.21A; 
2024-11-28; 00:05:58; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 127°; 174°; 100%; 35%; 40%; 0%; 74.1%; 433°; 78°; 74°; 0%; 4°; 27°; 26°; 38°; 34°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.02A; 
2024-11-28; 00:06:58; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 120°; 173°; 100%; 35%; 40%; 0%; 74.1%; 432°; 78°; 75°; 0%; 4°; 27°; 27°; 38°; 42°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.85A; 
2024-11-28; 00:07:58; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 115°; 168°; 100%; 35%; 40%; 0%; 74.1%; 430°; 78°; 76°; 0%; 4°; 27°; 27°; 38°; 42°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.48A; 
2024-11-28; 00:08:58; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 111°; 166°; 100%; 35%; 40%; 0%; 74.1%; 428°; 78°; 76°; 0%; 4°; 27°; 27°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.99A; 
2024-11-28; 00:09:58; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 108°; 164°; 100%; 35%; 40%; 0%; 74.1%; 427°; 78°; 76°; 0%; 4°; 27°; 27°; 38°; 32°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.48A; 
2024-11-28; 00:10:58; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 106°; 165°; 99%; 35%; 40%; 0%; 74.1%; 427°; 78°; 77°; 0%; 4°; 27°; 27°; 38°; 33°; 127°; 127°; 10962; 16778h; 43°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.46A; 
