Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-14; 00:00:36; übergangsbetr.;    Heizen      ; 1; 0; 57°; 99°; 109°; 85%; 100%; 57%; 82%; 90.5%; 406°; 33°; 26°; 0%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10990; 16824h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.04A; 
2024-12-14; 00:01:36; übergangsbetr.;    Heizen      ; 1; 0; 59°; 110°; 120°; 88%; 71%; 59%; 85%; 90.3%; 408°; 33°; 26°; 0%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.19A; 
2024-12-14; 00:02:35; übergangsbetr.;    Heizen      ; 1; 0; 63°; 117°; 127°; 92%; 41%; 61%; 88%; 90.2%; 409°; 33°; 26°; 0%; -1°; 30°; 29°; 41°; 38°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-12-14; 00:03:35; übergangsbetr.;    Heizen      ; 1; 0; 66°; 125°; 130°; 89%; 35%; 59%; 86%; 90.0%; 411°; 32°; 26°; 40%; -1°; 30°; 30°; 41°; 38°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.59A; 
2024-12-14; 00:04:35; übergangsbetr.;    Heizen      ; 1; 0; 69°; 127°; 125°; 83%; 35%; 56%; 81%; 89.9%; 412°; 32°; 26°; 40%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 3.08A; 
2024-12-14; 00:05:35; übergangsbetr.;    Heizen      ; 1; 0; 72°; 128°; 120°; 75%; 35%; 52%; 74%; 89.7%; 412°; 32°; 26°; 43%; -1°; 30°; 34°; 41°; 52°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-12-14; 00:06:35; übergangsbetr.;    Heizen      ; 1; 0; 74°; 128°; 121°; 74%; 35%; 52%; 73%; 89.6%; 413°; 32°; 26°; 45%; -1°; 30°; 38°; 41°; 59°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.78A; 
2024-12-14; 00:07:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 128°; 120°; 70%; 35%; 50%; 70%; 89.5%; 413°; 32°; 26°; 48%; -1°; 30°; 35°; 41°; 66°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.72A; 
2024-12-14; 00:08:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 128°; 120°; 68%; 35%; 49%; 69%; 89.4%; 414°; 32°; 26°; 52%; -1°; 30°; 33°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.61A; 
2024-12-14; 00:09:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 128°; 120°; 66%; 35%; 48%; 67%; 89.3%; 414°; 32°; 26°; 54%; -1°; 30°; 32°; 41°; 38°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.46A; 
2024-12-14; 00:10:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 129°; 124°; 67%; 35%; 48%; 68%; 89.1%; 414°; 33°; 26°; 47%; -1°; 30°; 31°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-12-14; 00:11:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 129°; 124°; 65%; 35%; 47%; 66%; 89.0%; 415°; 34°; 26°; 51%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.23A; 
2024-12-14; 00:12:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 130°; 126°; 65%; 35%; 47%; 66%; 88.9%; 415°; 34°; 26°; 50%; -1°; 30°; 30°; 41°; 43°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.95A; 
2024-12-14; 00:13:36; übergangsbetr.;    Heizen      ; 1; 0; 76°; 130°; 130°; 68%; 35%; 49%; 69%; 88.8%; 415°; 35°; 26°; 45%; -1°; 30°; 29°; 41°; 43°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.99A; 
2024-12-14; 00:14:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 131°; 130°; 66%; 35%; 48%; 67%; 88.7%; 415°; 36°; 26°; 50%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.93A; 
2024-12-14; 00:15:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 132°; 132°; 67%; 35%; 48%; 68%; 88.6%; 416°; 37°; 26°; 50%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-12-14; 00:16:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 133°; 133°; 67%; 35%; 48%; 68%; 88.5%; 417°; 38°; 26°; 50%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.23A; 
