Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-05; 00:00:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 102°; 156°; 100%; 0%; 0%; 0%; 75.5%; 423°; 79°; 78°; 0%; -4°; 32°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 43°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-05; 00:01:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 100°; 155°; 100%; 0%; 0%; 0%; 75.5%; 422°; 79°; 78°; 0%; -4°; 31°; 30°; 44°; 46°; 127°; 127°; 11033; 16896h; 43°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-05; 00:02:33; übergangsbetr.; Abst.Warten   2; 1; 0; 82°; 99°; 151°; 99%; 0%; 0%; 0%; 75.5%; 422°; 79°; 78°; 0%; -4°; 31°; 30°; 44°; 41°; 127°; 127°; 11033; 16896h; 43°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-05; 00:03:33; übergangsbetr.; Abst.Warten   2; 1; 0; 82°; 97°; 150°; 97%; 0%; 0%; 0%; 75.5%; 421°; 79°; 78°; 0%; -4°; 31°; 30°; 44°; 41°; 127°; 127°; 11033; 16896h; 43°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.30A; 
2025-01-05; 00:04:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 96°; 153°; 97%; 0%; 0%; 0%; 75.5%; 420°; 78°; 78°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 43°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-05; 00:05:33; übergangsbetr.; Abst.Warten   2; 1; 0; 82°; 93°; 149°; 95%; 0%; 0%; 0%; 75.5%; 419°; 78°; 78°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-05; 00:06:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 92°; 152°; 95%; 0%; 0%; 0%; 75.5%; 418°; 78°; 78°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-05; 00:07:33; übergangsbetr.; Abst.Warten   2; 1; 0; 82°; 91°; 147°; 94%; 0%; 0%; 0%; 75.5%; 418°; 78°; 78°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-05; 00:08:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 90°; 150°; 93%; 0%; 0%; 0%; 75.5%; 417°; 78°; 78°; 0%; -4°; 31°; 31°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.19A; 
2025-01-05; 00:09:33; übergangsbetr.; Abst.Warten   2; 1; 0; 82°; 89°; 146°; 93%; 0%; 0%; 0%; 75.5%; 416°; 78°; 78°; 0%; -4°; 31°; 32°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-05; 00:10:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 88°; 151°; 92%; 0%; 0%; 0%; 75.5%; 416°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-05; 00:11:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 87°; 149°; 90%; 0%; 0%; 0%; 75.5%; 415°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.19A; 
2025-01-05; 00:12:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 86°; 149°; 91%; 0%; 0%; 0%; 75.5%; 415°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-05; 00:13:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 86°; 151°; 91%; 0%; 0%; 0%; 75.5%; 415°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-05; 00:14:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 85°; 148°; 90%; 0%; 0%; 0%; 75.5%; 414°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.30A; 
2025-01-05; 00:15:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 84°; 148°; 90%; 0%; 0%; 0%; 75.5%; 414°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-05; 00:16:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 84°; 148°; 90%; 0%; 0%; 0%; 75.5%; 414°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-05; 00:17:33; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 84°; 150°; 90%; 0%; 0%; 0%; 75.5%; 414°; 78°; 77°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-05; 00:18:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 83°; 147°; 89%; 0%; 0%; 0%; 75.5%; 414°; 78°; 76°; 0%; -4°; 31°; 31°; 44°; 44°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:19:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 83°; 147°; 88%; 0%; 0%; 0%; 75.5%; 413°; 78°; 76°; 0%; -4°; 31°; 32°; 44°; 44°; 127°; 127°; 11033; 16896h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 00:20:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 82°; 147°; 88%; 0%; 0%; 0%; 75.5%; 413°; 78°; 76°; 0%; -4°; 31°; 32°; 44°; 44°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:21:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 82°; 153°; 88%; 0%; 0%; 0%; 75.5%; 413°; 78°; 76°; 0%; -4°; 31°; 36°; 44°; 52°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 00:22:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 81°; 153°; 88%; 0%; 0%; 0%; 75.5%; 413°; 78°; 76°; 0%; -4°; 31°; 32°; 44°; 40°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:23:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 81°; 152°; 88%; 0%; 0%; 0%; 75.5%; 413°; 78°; 76°; 0%; -4°; 31°; 30°; 44°; 40°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:24:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 80°; 152°; 87%; 0%; 0%; 0%; 75.5%; 413°; 78°; 76°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 42°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
