Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-03-04; 00:00:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 64°; 30°; 0%; -2°; 30°; 38°; 42°; 48°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:01:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 64°; 30°; 0%; -2°; 30°; 38°; 42°; 51°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:02:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:03:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 33°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:04:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 38°; 42°; 31°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 00:05:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 39°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:06:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 48°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:07:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 52°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.36A; 
2025-03-04; 00:08:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 38°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:09:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 33°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 00:10:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 31°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:11:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 38°; 42°; 39°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 00:12:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 48°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:13:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 52°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:14:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:15:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 34°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:16:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 32°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:17:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 40°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 00:18:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 63°; 30°; 0%; -2°; 30°; 37°; 42°; 48°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:19:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -2°; 30°; 37°; 42°; 52°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 00:20:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 48°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -2°; 30°; 37°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:21:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 34°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:22:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 32°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:23:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 00:24:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 49°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 00:25:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 51°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:26:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 40°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:27:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 33°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 00:28:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 37°; 42°; 33°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:29:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 39°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:30:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 32°; 42°; 50°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:31:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 28°; 42°; 50°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
