Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-04-21; 00:00:13; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 126°; 193°; 100%; 35%; 40%; 0%; 83.3%; 432°; 76°; 74°; 100%; 9°; 0°; 26°; 0°; 28°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.04A; 
2025-04-21; 00:01:13; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 121°; 194°; 100%; 35%; 40%; 0%; 83.3%; 431°; 76°; 75°; 0%; 9°; 0°; 26°; 0°; 28°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.74A; 
2025-04-21; 00:02:13; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 117°; 192°; 100%; 35%; 40%; 0%; 83.3%; 430°; 76°; 74°; 100%; 8°; 0°; 26°; 0°; 28°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.36A; 
2025-04-21; 00:03:13; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 113°; 195°; 100%; 35%; 40%; 0%; 83.3%; 428°; 76°; 74°; 100%; 8°; 0°; 26°; 0°; 28°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.87A; 
2025-04-21; 00:04:13; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 110°; 196°; 96%; 0%; 0%; 0%; 83.3%; 426°; 76°; 74°; 100%; 8°; 0°; 26°; 0°; 29°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2025-04-21; 00:05:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 109°; 200°; 100%; 0%; 0%; 0%; 83.3%; 425°; 76°; 74°; 0%; 8°; 0°; 26°; 0°; 29°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.45A; 
2025-04-21; 00:06:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 107°; 201°; 100%; 0%; 0%; 0%; 83.3%; 425°; 76°; 74°; 0%; 8°; 0°; 26°; 0°; 29°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2025-04-21; 00:07:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 105°; 202°; 100%; 0%; 0%; 0%; 83.3%; 424°; 76°; 74°; 0%; 8°; 0°; 26°; 0°; 29°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:08:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 103°; 203°; 100%; 0%; 0%; 0%; 83.3%; 423°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.45A; 
2025-04-21; 00:09:13; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 101°; 200°; 100%; 0%; 0%; 0%; 83.3%; 422°; 75°; 74°; 100%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.47A; 
2025-04-21; 00:10:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 100°; 205°; 100%; 0%; 0%; 0%; 83.3%; 422°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.32A; 
2025-04-21; 00:11:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 98°; 206°; 98%; 0%; 0%; 0%; 83.3%; 420°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2025-04-21; 00:12:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 97°; 207°; 98%; 0%; 0%; 0%; 83.3%; 419°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2025-04-21; 00:13:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 95°; 208°; 96%; 0%; 0%; 0%; 83.3%; 419°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:14:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 94°; 209°; 96%; 0%; 0%; 0%; 83.3%; 419°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2025-04-21; 00:15:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 93°; 210°; 95%; 0%; 0%; 0%; 83.3%; 418°; 75°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.19A; 
2025-04-21; 00:16:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 92°; 211°; 95%; 0%; 0%; 0%; 83.3%; 418°; 74°; 74°; 91%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.45A; 
2025-04-21; 00:17:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 91°; 215°; 94%; 0%; 0%; 0%; 83.3%; 417°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:18:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 90°; 216°; 93%; 0%; 0%; 0%; 83.3%; 417°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.13A; 
2025-04-21; 00:19:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 89°; 218°; 93%; 0%; 0%; 0%; 83.3%; 417°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:20:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 89°; 219°; 93%; 0%; 0%; 0%; 83.3%; 416°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
